asi_slno,raw_text,page
19,Monument over the grave of Mr.B.J.Stow Goalpara Goalpara,10
20,"Shri Surya Pahar Ruins, Dasabhaja Sri Suryapahar Goalpara Devasthan",10
21,Monoliths Kasomari Pathar Golaghat,10
22,Sivadol Negheriting Golaghat,10
23,The stone inscription inside “Poa Mecca Hajo Kamrup Mosque”,10
24,Shri Shri Hayagriva Madhava temple Hajo Kamrup,10
25,Shri Shri Kedar temple Hajo Kamrup,10
26,Shri Shri Ganesh temple Hajo Kamrup,10
27,Shri Shri Kameshwar temple. Hajo Kamrup 10 Sl.No. Name of the Monument / Site Locality District,10
28,"The Carvings, inscriptions and pillar on the Guwahati Kamrup (M) Urbasi Island",11
29,"The rock-cut sculpture representing Guwahati Kamrup (M) Vishnu (with adjoining figures of Surya, Ganesa, Devi etc locally Known as Vishnu Janardhan.",11
30,"Daurgarila Rock Inscription, Kamakhya Hill Guwahati Kamrup (M)",11
31,Rock-cut figures and one Stone - Gateway Kamakhya Hill Kamrup (M),11
32,Garhgaon Raja’s Palace Garhgaon Sivasagar,11
33,Bisnudol Gaurisagar Sivasagar,11
34,Devidol Gaurisagar Sivasagar,11
35,Gaurisagar Tank Gaurisagar Sivasagar,11
36,Sivadol Gaurisagar Sivasagar,11
37,Bisnudol Joysagar Sivasagar,11
38,Devidol Joysagar Sivasagar,11
39,"Eight cannons of the Ahom period on the Joysagar Sivasagar bank of the, Sibsagar tank",11
40,Ghanshyam’s house Joysagar Sivasagar,11
41,Golakghar or magazine Joysagar Sivasagar,11
42,Ranganath dole Joysagar Sivasagar,11
43,Ranghar Ruins Joysagar Sivasagar,11
44,Sivadol Joysagar Sivasagar,11
45,The Karenghar of the Ahom kings (Talatal Joysagar Sivasagar ghar),11
46,Bishnu dole Sibsagar Sivasagar,11
47,Debi dole Sibsagar Sivasagar,11
48,Siva dole Sibsagar Sivasagar,11
49,"Ruins, Singri Hill Singri Hill Sonitpur",11
50,Masonary remains on the Bamuni Hills Tezpur Sonitpur,11
51,Sculptures in the Chummery compound Tezpur Sonitpur,11
52,The mound and ruins of the stone temple Tezpur Sonitpur at Parbatiya,11
53,The rock on the bank of the Bharmaputra Tezpur Sonitpur about 2 miles below Tezpur and the inscription thereon,11
54,"The gun of Emperor Sher Shah, Sadiya, Sadiya Tinsukia Tinsukia",11
55,The two swivel guns belonging to the Sadiya Tinsukia Mughal Nawwara 11,11
4,List of Centrally protected Monuments / Sites under the jurisdiction of Bihar (Patna Circle) Sl.No. Name of the Monument / Site Locality District,12
1,Tomb of Shamsher Khan Shamshernagar Aurangabad,12
2,Ancient site of Vikramasila Monastery Antichak Bhagalpur,12
3,Rock Temple Golgong Bhagalpur,12
4,Patalpuri cave and land adjoining Madhorampur Bhagalpur Bateshwar cave on the Patharghata hill,12
5,Rock sculptures Patharghatta Bhagalpur,12
6,Ancient mound Buxar Buxar,12
7,Asoka column known as Laur pillar Lauriya Areraj East Champaran,12
8,"Fort ruins, tank and Stupa Sagardih East Champaran",12
9,Buddhist Stupa Tajpur Deur East Champaran,12
10,Ancient Stupa and other remains locally Bakraur Gaya known as Sujata garh,12
11,"Ancient mounds in the valley known as Bishunpurtarwa, Gaya “Hasra Kol” Hasra and Jagdishpur",12
12,"Ancient mouds in the hill known as Bishunpurtarwa, Gaya ‘Sobhnath’ Hasra and Jagdishpur",12
13,Ancient Buddhistic image and other Guneri Gaya images and sculptures collected underneath a shed,12
14,Siva temple Konch Gaya,12
15,Sculptures of various Hindu deities carved Kurisarai Gaya on the southern and eastern faces of some rocks and boulders of Kauwadol Hill,12
16,Sculptures of various Hindu deities carved Kurisarai Gaya on the face of an isolated round boulder separated by a distance of 12 feet from the south-eastern corner of the Kauwadol Hill.,12
17,Sculptures of various Hindu deities carved Kurisarai Gaya on the northern -eastern faces of some rocks of Kauwadol Hill.,12
