monument_id,asi_slno,name,locality,district,state,circle,page,raw_text
ASI-00071,71,Old Vishnu temple with inscriptions Peddamudiyan Kadapa YSR,,,Vadodara Circle 170 Daman & Diu (U.T) 11 Gujarat 159 Total 3698 3698 2 Map indicating Circles of Archaeological Survey of India 3,Vadodara Circle,6,Old Vishnu temple with inscriptions Peddamudiyan Kadapa YSR
ASI-00072,72,Athirala Parasurama temple Poli Kadapa YSR,,,Vadodara Circle 170 Daman & Diu (U.T) 11 Gujarat 159 Total 3698 3698 2 Map indicating Circles of Archaeological Survey of India 3,Vadodara Circle,6,Athirala Parasurama temple Poli Kadapa YSR
ASI-00073,73,Bheemeshwara swami temple Pushpagiri Kadapa YSR (hamlet of Kotluru),,,Vadodara Circle 170 Daman & Diu (U.T) 11 Gujarat 159 Total 3698 3698 2 Map indicating Circles of Archaeological Survey of India 3,Vadodara Circle,6,Bheemeshwara swami temple Pushpagiri Kadapa YSR (hamlet of Kotluru)
ASI-00074,74,Indranadheshwara swami temple Pushpagiri Kadapa YSR (hamlet of Kotluru),,,Vadodara Circle 170 Daman & Diu (U.T) 11 Gujarat 159 Total 3698 3698 2 Map indicating Circles of Archaeological Survey of India 3,Vadodara Circle,6,Indranadheshwara swami temple Pushpagiri Kadapa YSR (hamlet of Kotluru)
ASI-00075,75,Kamalasamveswara swami temple Pushpagiri Kadapa YSR (hamlet of Kotluru),,,Vadodara Circle 170 Daman & Diu (U.T) 11 Gujarat 159 Total 3698 3698 2 Map indicating Circles of Archaeological Survey of India 3,Vadodara Circle,6,Kamalasamveswara swami temple Pushpagiri Kadapa YSR (hamlet of Kotluru)
ASI-00076,76,Raghaveswara swami temple Pushpagiri Kadapa YSR (hamlet of Kotluru),,,Vadodara Circle 170 Daman & Diu (U.T) 11 Gujarat 159 Total 3698 3698 2 Map indicating Circles of Archaeological Survey of India 3,Vadodara Circle,6,Raghaveswara swami temple Pushpagiri Kadapa YSR (hamlet of Kotluru)
ASI-00077,77,Sivakesavaswami temple Pushpagiri Kadapa YSR (hamlet of Kotluru),,,Vadodara Circle 170 Daman & Diu (U.T) 11 Gujarat 159 Total 3698 3698 2 Map indicating Circles of Archaeological Survey of India 3,Vadodara Circle,6,Sivakesavaswami temple Pushpagiri Kadapa YSR (hamlet of Kotluru)
ASI-00078,78,Trikoteswara swami temple Pushpagiri Kadapa YSR (hamlet of Kotluru),,,Vadodara Circle 170 Daman & Diu (U.T) 11 Gujarat 159 Total 3698 3698 2 Map indicating Circles of Archaeological Survey of India 3,Vadodara Circle,6,Trikoteswara swami temple Pushpagiri Kadapa YSR (hamlet of Kotluru)
ASI-00079,79,Vaidhyanadha swami temple Pushpagiri Kadapa YSR (hamlet of Kotluru),,,Vadodara Circle 170 Daman & Diu (U.T) 11 Gujarat 159 Total 3698 3698 2 Map indicating Circles of Archaeological Survey of India 3,Vadodara Circle,6,Vaidhyanadha swami temple Pushpagiri Kadapa YSR (hamlet of Kotluru)
ASI-00080,80,Fort with ancient buildings therein Siddhout Kadapa YSR,,,Vadodara Circle 170 Daman & Diu (U.T) 11 Gujarat 159 Total 3698 3698 2 Map indicating Circles of Archaeological Survey of India 3,Vadodara Circle,6,Fort with ancient buildings therein Siddhout Kadapa YSR
ASI-00081,81,Visvanatha swami temple Sivalpalli Kadapa YSR,,,Vadodara Circle 170 Daman & Diu (U.T) 11 Gujarat 159 Total 3698 3698 2 Map indicating Circles of Archaeological Survey of India 3,Vadodara Circle,6,Visvanatha swami temple Sivalpalli Kadapa YSR
